# Real typos must still get corrected. Without this bucket, "fix the false
# positives" degenerates into "suggest nothing", which scores perfectly on
# every nofix bucket.
#
# `hte -> the` is the transposition class: spellingConfidence uses plain
# Levenshtein (distance 2) rather than the Damerau distance used elsewhere
# (distance 1), so transpositions score low and can fall under the display
# threshold.
# input	language	expected	verdict
helo	en	hello	fix
wrold	en	world	fix
hte	en	the	fix
teh	en	the	fix
recieve	en	receive	fix
seperate	en	separate	fix
occured	en	occurred	fix
definately	en	definitely	fix
becuase	en	because	fix
adress	en	address	fix
langauge	en	language	fix
keybaord	en	keyboard	fix
