# Ukrainian apostrophe forms. frequency_uk.txt contains zero of these, so
# while the index was the spelling authority every one was reported
# misspelled: layout auto-fix failed closed and the compound path offered a
# different, more frequent word instead.
# input	language	expected	verdict
п'ять	uk	-	nofix
м'ясо	uk	-	nofix
об'єкт	uk	-	nofix
сім'я	uk	-	nofix
здоров'я	uk	-	nofix
ім'я	uk	-	nofix
з'їзд	uk	-	nofix
комп'ютер	uk	-	nofix
в'їзд	uk	-	nofix
пам'ять	uk	-	nofix
з'явився	uk	-	nofix
об'єднання	uk	-	nofix
прем'єр	uk	-	nofix
інтерв'ю	uk	-	nofix
подвір'я	uk	-	nofix
