# Ordinary correct Ukrainian, including inflected forms. A heavily inflected
# language has far more surface forms than a 50k list holds, which is why the
# list must not be the authority on what is a word.
# input	language	expected	verdict
привіт	uk	-	nofix
дякую	uk	-	nofix
будь	uk	-	nofix
робити	uk	-	nofix
роблять	uk	-	nofix
зробили	uk	-	nofix
працювати	uk	-	nofix
працюємо	uk	-	nofix
питання	uk	-	nofix
відповідь	uk	-	nofix
розкладка	uk	-	nofix
клавіатура	uk	-	nofix
налаштування	uk	-	nofix
користувач	uk	-	nofix
сьогодні	uk	-	nofix
завтра	uk	-	nofix
потрібно	uk	-	nofix
можливо	uk	-	nofix
переклад	uk	-	nofix
швидко	uk	-	nofix
